Length.spi Length.bod scLength.spi scLength.bod treat_dev measurer.spi measurer.bod animal cultureFac blockFac Dam Sire cross
0.10077 0.13934 10.077 13.934 U 0.5 0.5 N1.1_U2.15 N1.1_U2 1 dam_N1 sire_N1 N1N1
0.10431 0.13194 10.431 13.194 U 0.5 0.5 N1.1_U2.16 N1.1_U2 1 dam_N1 sire_N1 N1N1
0.08965 0.13033 8.965 13.033 U 0.5 0.5 N1.1_U2.17 N1.1_U2 1 dam_N1 sire_N1 N1N1
0.10489 0.13971 10.489 13.971 U 0.5 0.5 N1.1_U2.18 N1.1_U2 1 dam_N1 sire_N1 N1N1
0.07317 0.13411 7.317 13.411 U 0.5 0.5 N1.1_U2.19 N1.1_U2 1 dam_N1 sire_N1 N1N1
0.09743 0.12752 9.743 12.752 U 0.5 0.5 N1.1_U2.2 N1.1_U2 1 dam_N1 sire_N1 N1N1
0.05091 0.11929 5.091 11.929 U 0.5 0.5 N1.1_U2.20 N1.1_U2 1 dam_N1 sire_N1 N1N1
0.09527 0.13187 9.527 13.187 U 0.5 0.5 N1.1_U2.21 N1.1_U2 1 dam_N1 sire_N1 N1N1
0.11459 0.13514 11.459 13.514 U 0.5 0.5 N1.1_U2.22 N1.1_U2 1 dam_N1 sire_N1 N1N1
0.07636 0.13234 7.636 13.234 U 0.5 0.5 N1.1_U2.23 N1.1_U2 1 dam_N1 sire_N1 N1N1
0.09953 0.12867 9.953 12.867 U 0.5 0.5 N1.1_U2.24 N1.1_U2 1 dam_N1 sire_N1 N1N1
0.10904 0.13872 10.904 13.872 U 0.5 0.5 N1.1_U2.25 N1.1_U2 1 dam_N1 sire_N1 N1N1
0.08489 0.12695 8.489 12.695 U 0.5 0.5 N1.1_U2.26 N1.1_U2 1 dam_N1 sire_N1 N1N1
0.08258 0.12154 8.258 12.154 U 0.5 0.5 N1.1_U2.27 N1.1_U2 1 dam_N1 sire_N1 N1N1
