Sample	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	>10	>50	>100	>500	>1k	>5k	>10k+
N77_N1_RNA_S26_L001_R2										11.716356007283437	3.042898420840503	5.034535835058327	1.7159617299912846	4.056744373762376	1.127503494399598	1.318796243720115
N77_U1_RNA_S27_L001_R1										13.38447998384254	3.6340201910684664	5.721697504910182	1.916763494312439	4.532360413003859	2.1569004189109062	3.3430196714081983
N77_U1_RNA_S27_L001_R2										11.547570304117444	3.087146695712429	4.8345762219954835	1.8137543426239588	5.3274250426825125	1.9829019663354324	3.1650000015993136
N78_N2_RNA_S28_L001_R1										14.417146873547665	3.700181045353792	5.539784592096457	1.7335312577627524	3.719200525553168	1.575263926893826	2.740781327967234
N78_N2_RNA_S28_L001_R2										12.285223482108645	3.1819652533484595	4.802074205061547	1.5831942418059228	4.322148811950723	1.694584576184998	2.4038237583049233
N78_U2_RNA_S29_L001_R1										14.365962689436982	3.9360055100527487	6.443714181363927	2.256595497713648	4.6478722950452465	1.6854929164175123	2.428819874395751
N78_U2_RNA_S29_L001_R2										12.124445340403327	3.2370499482714186	5.741020019657712	2.0686750459675287	4.899920628170562	1.6399363497868684	2.149563938920966
N87_N1_RNA_S30_L001_R1										14.064765353430603	3.8040392293555296	5.5552394244848005	1.7367089754978673	3.7258415946136587	1.4486362969592685	1.5338353916421474
N87_N1_RNA_S30_L001_R2										11.926782096028834	3.10235159794984	4.6544306219631455	1.7072207325589783	3.9451948793377807	1.2352324818999871	1.4298494550160126
N87_U1_RNA_S31_L001_R1										13.738352030740897	3.7053195413773796	5.814558065668924	1.904837556687907	4.3926253007327425	1.7622862187188868	2.357104407829378
N87_U1_RNA_S31_L001_R2										11.709536200749843	3.1767702286490866	4.9461630672565216	1.873753185945542	4.865113683617441	1.648663297397365	2.1162012202394753
N88_N1_RNA_S32_L001_R1										13.90297867977591	3.695673219909046	5.617425901982363	1.7925363983909957	4.0177925018084615	1.6259866374527077	2.226072848940623
N88_N1_RNA_S32_L001_R2										12.025856839725321	2.977447566518218	4.8308556539362275	1.7822012901512116	4.440961689027169	1.596036063786135	1.7948659951667056
N88_U1_RNA_S33_L001_R1										13.447817166643631	3.5604183276924184	5.16938113253741	1.6958775829110484	4.0721718668810425	1.6428367434461137	1.6970070197587852
N88_U1_RNA_S33_L001_R2										11.47113077257557	2.970596310240131	4.526163036070508	1.8231886038266727	4.367689896063974	1.4682997540615847	1.5797651043173009
N910_N2_RNA_S34_L001_R1										15.36715644117572	4.121591763301013	5.858349389486965	1.616780596146845	2.913924266646199	0.9065600563949758	1.2181227691292866
N910_N2_RNA_S34_L001_R2										13.29447236400563	3.2482854517711406	4.925830254050895	1.4457460429985902	3.1254863625099683	0.7758196747862653	1.006310142266349
N910_U2_RNA_S35_L001_R1										15.074586109646443	4.052109025511508	5.8169823037630914	1.6766223939631497	2.9845962890501827	0.9298992216967006	1.1240241531258184
N910_U2_RNA_S35_L001_R2										12.925187003929391	3.326345195578617	4.958608384911772	1.5569286329147507	3.249798189969977	0.7939416688255584	0.9404850601600585
N99_N1_RNA_S36_L001_R1										15.00199888746103	3.8927766984126846	5.568959498761724	1.5742576653874918	2.8045790144515483	0.8650066764446048	0.9702692811051514
N99_N1_RNA_S36_L001_R2										12.887713167107265	3.2427266879886076	4.691410882859373	1.4803663417818476	2.9224983779889846	0.6691139299077603	0.8667094652481376
N99_U1_RNA_S37_L001_R1										14.591101342584324	3.7495360888775355	5.064094885482804	1.6036740574865076	2.6933143743680454	0.9113278107639814	0.8746317944196056
N99_U1_RNA_S37_L001_R2										11.932438075561503	2.8980177763212236	4.360184936250784	1.438277148105282	2.767781693744938	0.4715025131932717	0.7454624332552524
U1010_N1_RNA_S80_L001_R1										13.498109240394118	3.4431591012135305	5.342373537872324	1.7157222600224804	3.4983880695784064	1.3181362001262755	2.0396487407010873
U1010_N1_RNA_S80_L001_R2										11.093291582407849	2.865007048375963	4.558017829847733	1.5788547754875444	3.9924725050157983	1.4281781405647336	1.4679510248481755
U1010_U1_RNA_S81_L001_R1										14.476420797246018	3.4482845458111004	4.7470431163361155	1.274924288434825	2.6510880408226356	0.9931672767381524	1.3235576383659207
U1010_U1_RNA_S81_L001_R2										11.87260221966683	2.6613125454923963	3.7571324356149907	1.2452058810963218	3.0432100247211045	0.7220279538787842	1.0757420185835391
U109_N2_RNA_S78_L001_R1										14.983658306187117	3.6323208317425295	5.025955615852141	1.3935203896707153	3.0624912909526514	1.270432637859085	2.124570973647144
